Date,Narration,Withdrawal Amount,Deposit Amount,Closing Balance
2026-09-01,MP Online Ltd Stipend Payroll Credit,0,75000.00,125000.00
2026-09-02,Swiggy Bangalore Food Order #91823,499.00,0,124501.00
2026-09-03,Blinkit Instant Grocery Delivery,820.00,0,123681.00
2026-09-05,Uber Ride MP Nagar Bhopal,240.00,0,123441.00
2026-09-07,MPEB Electricity Online Bill Pay,2100.00,0,121341.00
2026-09-10,Amazon IN Prime Shopping Electronics,1499.00,0,119842.00
2026-09-12,Netflix Monthly Subscription Renewal,649.00,0,119193.00
2026-09-15,Starbucks Coffee DB City Mall,360.00,0,118833.00
2026-09-18,Apollo Pharmacy Health & Medicine,920.00,0,117913.00
2026-09-20,High-End Luxury Gadget Flash Sale,35000.00,0,82913.00
